"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HL83Z8MI","journalArticle","2017","Gach, Katie Z.; Fiesler, Casey; Brubaker, Jed R.","“Control your emotions, Potter”: An Analysis of Grief Policing on Facebook in Response to Celebrity Death","Proceedings of the ACM on Human-Computer Interaction","","2573-0142, 2573-0142","10.1145/3134682","https://dl.acm.org/doi/10.1145/3134682","","2017-12-06","2020-10-28 21:29:54","2021-02-03 17:33:20","2020-10-28 21:29:54","1-18","","CSCW","1","","Proc. ACM Hum.-Comput. Interact.","“Control your emotions, Potter”","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","Test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T8JIHR7S","journalArticle","2020","Gach, Katie Z.; Brubaker, Jed R.","Experiences of Trust in Postmortem Profile Management","ACM Transactions on Social Computing","","2469-7818, 2469-7826","10.1145/3365525","https://dl.acm.org/doi/10.1145/3365525","","2020-02-28","2020-10-28 21:29:31","2020-10-28 21:29:31","2020-10-28 21:29:31","1-26","","1","3","","Trans. Soc. Comput.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ESI74T5P","conferencePaper","2009","Massimi, Michael; Charise, Andrea","Dying, Death, and Mortality: Towards Thanatosensitivity in HCI","CHI '09 Extended Abstracts on Human Factors in Computing Systems","978-1-60558-247-4","","10.1145/1520340.1520349","https://doi.org/10.1145/1520340.1520349","What happens to human-computer ""interaction"" when the human user is no longer alive? This exploratory paper uses insights from the critical humanist tradition to argue for the urgent need to consider the facts of mortality, dying, and death in HCI research. Using an interdisciplinary approach, we critically reflect upon how the intersection of death and computing is currently navigated and illustrate the conceptual and practical complexities presented by mortality, dying, and death in HCI. Finally, we introduce the concept of thanatosensitivity to describe an approach that actively integrates the facts of mortality, dying, and death into HCI research and design.","2009","2020-11-05 22:27:09","2020-11-05 22:27:09","","2459–2468","","","","","","","CHI EA '09","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Boston, MA, USA","","","","critical humanism; death; dying; mortality; thanatosensitivity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QX95FC8G","conferencePaper","2010","Massimi, Michael; Odom, Will; Kirk, David; Banks, Richard","HCI at the End of Life: Understanding Death, Dying, and the Digital","CHI '10 Extended Abstracts on Human Factors in Computing Systems","978-1-60558-930-5","","10.1145/1753846.1754178","https://doi.org/10.1145/1753846.1754178","Death and our experience of it is a fundamental aspect of life and consequently every human culture has developed practices associated with responding to, signifying, and dealing with its implications. As our technology pervades our cultures, we find that the digital is increasingly intersecting with these practices. This raises issues which have rarely been conceptualized or articulated in the HCI and CSCW communities. It is increasingly important to design ""thanatosensitive"" technologies which support death-centric practices such as collaborative acts of remembrance, bequeathing of digital data, or group reflection on the digital residua of a life. This workshop will bring together participants interested in such technologies and their implications. Potential topics include, but are not limited to: devices for reflection and meaning-making across multiple lifespans; interdisciplinary practices surrounding mortality, dying, and death; technology heirlooms; digital rights management; and methodological approaches to researching end-of-life technology issues.","2010","2020-11-05 22:32:29","2020-11-05 22:32:29","","4477–4480","","","","","","","CHI EA '10","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Atlanta, Georgia, USA","","","","death; dying; mortality; end of life","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K7462LEF","conferencePaper","2016","Gulotta, Rebecca; Gerritsen, David B.; Kelliher, Aisling; Forlizzi, Jodi","Engaging with Death Online: An Analysis of Systems That Support Legacy-Making, Bereavement, and Remembrance","Proceedings of the 2016 ACM Conference on Designing Interactive Systems","978-1-4503-4031-1","","10.1145/2901790.2901802","https://doi.org/10.1145/2901790.2901802","Death is an inevitable part of life, but digital systems have been slow to address the complex issues that arise when a person passes away. As digital systems have become an increasingly important part people's lives, so too have these systems begun to play a role in a number of practices related to death, such as legacy-making, bereavement, and remembrance. In this paper, we conduct a survey of seventy-five digital systems designed to support these practices. Building on prior work, we analyzed these systems to derive findings that articulate how digital technologies reflect how people think about and engage with death. Based on these findings, we generated strategies designed to help system designers grapple with the complex needs that result from navigating death online.","2016","2020-11-05 22:33:25","2020-11-05 22:33:25","","736–748","","","","","","","DIS '16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Brisbane, QLD, Australia","","","","death; dying; digital systems; identity management; immortality; legacy; personal information management; remembrance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JR3HMEQX","conferencePaper","2011","Massimi, Michael; Baecker, Ronald M.","Dealing with Death in Design: Developing Systems for the Bereaved","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","978-1-4503-0228-9","","10.1145/1978942.1979092","https://doi.org/10.1145/1978942.1979092","Increasingly, systems are being developed and used in ways that involve end of life issues such as death, dying, and bereavement. Yet design considerations and guidelines for technologists working in this sensitive area are not well-established. We therefore report on exploratory fieldwork consisting of focus groups, observations, and consultation with bereavement experts aimed at understanding how technology might be designed to support bereaved parents. From this fieldwork, we derive a set of considerations useful for researchers and designers developing systems that deal specifically with bereavement, and with the end of life more broadly. These considerations focus on interpersonal communication, new ways of being in the world, and materiality. We conclude with a distillation of these considerations into practical design guidelines for working in this area.","2011","2020-11-05 22:34:13","2020-11-05 22:34:13","","1001–1010","","","","","","","CHI '11","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Vancouver, BC, Canada","","","","death; dying; bereavement; design; memory; social support; thanatosensitive design","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YS9SZTY5","conferencePaper","2011","Locasto, Michael E.; Massimi, Michael; DePasquale, Peter J.","Security and Privacy Considerations in Digital Death","Proceedings of the 2011 New Security Paradigms Workshop","978-1-4503-1078-9","","10.1145/2073276.2073278","https://doi.org/10.1145/2073276.2073278","Death is an uncomfortable subject for many people, and digital systems are rarely designed to deal with this event. In particular, the wide array of existing digital authentication infrastructure rarely deals with gracefully retiring credentials in a uniform fashion.This research paper highlights an emerging paradigm: gracefully dealing with expired digital identities in a secure, privacy-preserving fashion. It examines the confluence of modern browser technology, cloud services, and human factors involved in managing a person's digital footprint while they live and retiring it when they die.We contemplate a potential approach to dealing with credentials after death by using cloud computing. We consider the reasons that such an approach may actually provide an opportunity for enhancing authentication security by frustrating identity stealing attacks.We note that this paper is not aimed at trivializing the real grief and loss that people feel, but rather an attempt to understand how security and privacy concerns are shaped by the end of life, with the ultimate goal of easing this transition for friends and family.","2011","2020-11-05 22:35:15","2020-11-05 22:35:15","","1–10","","","","","","","NSPW '11","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Marin County, California, USA","","","","death; cloud identity management; digital end-of-life; identity containers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H629WZ6U","conferencePaper","2010","Massimi, Michael; Baecker, Ronald M.","A Death in the Family: Opportunities for Designing Technologies for the Bereaved","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","978-1-60558-929-9","","10.1145/1753326.1753600","https://doi.org/10.1145/1753326.1753600","Following the death of a loved one, bereaved family members use technology in several ways to respond to their loss. However, very little is known about how technology intersects with the lives of the bereaved. We present a survey and interview study which examines how the bereaved inherit personal digital devices, use technology to remember the deceased, and reflect on their own digital estates. The study provides one of the first characterizations of technology use by the bereaved, and presents a set of empirically-grounded design opportunities and challenges.","2010","2020-11-05 22:35:58","2020-11-05 22:35:58","","1821–1830","","","","","","","CHI '10","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Atlanta, Georgia, USA","","","","death; memory; thanatosensitive design; bereaved; inheritance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MR53H872","conferencePaper","2016","Ahmad, Muhammad Aurangzeb","After Death: Big Data and the Promise of Resurrection by Proxy","Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems","978-1-4503-4082-3","","10.1145/2851581.2892591","https://doi.org/10.1145/2851581.2892591","With the advent of Big Data and the possibility of capturing massive personal data it is possible to simulate some aspects of a person's personality. The imitation game is based on the observation that it is possible to convince a person of a fake identity if sufficient information is available about the identity being faked. Imitation is however not limited to a person who is alive but also a person who is not alive; the question of simulating a deceased person for the purpose of having the simulation interact with a person is addressed. Various challenges and background considerations for such an endeavor are discussed. The goal of the paper is to open up discussion on this subject and examine its feasibility.","2016","2020-11-05 22:38:15","2020-11-05 22:38:15","","397–408","","","","","","","CHI EA '16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: San Jose, California, USA","","","","death; ATA after death; postmortem data; techno-social systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y774BL6I","conferencePaper","2010","Massimi, Michael","Thanatosensitively Designed Technologies for Bereavement Support","CHI '10 Extended Abstracts on Human Factors in Computing Systems","978-1-60558-930-5","","10.1145/1753846.1753893","https://doi.org/10.1145/1753846.1753893","Computing supports a number of activities across the lifespan, from interactive games for children to smart homes for seniors. However, one part of the lifespan which is often overlooked by application designers is the end of life - a period marked by issues of mortality, dying, and death. My thesis takes up this area as its object of study, and does so specifically by examining the bereaved as a target population. I argue that most modern technologies are not designed with proper acknowledgement of the eventual death of their users, and that this oversight results in a series of circumstances which complicate affairs for bereaved family members. Based on evidence from a survey and interview study, I identify opportunities for technology designers to support bereavement activities through a process called ""thanatosensitive design."" My thesis seeks to contribute methodological insights for designing for the end of the lifespan, a novel system which connects bereaved individuals together, and account of how this system mediates social support.","2010","2020-11-12 00:54:04","2020-11-12 00:54:04","","2951–2954","","","","","","","CHI EA '10","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Atlanta, Georgia, USA","","","","death; dying; bereavement; thanatosensitive design; domestic technologies; ubiquitous computing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLYJKG4C","conferencePaper","2011","Getty, Emily; Cobb, Jessica; Gabeler, Meryl; Nelson, Christine; Weng, Ellis; Hancock, Jeffrey","I Said Your Name in an Empty Room: Grieving and Continuing Bonds on Facebook","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","978-1-4503-0228-9","","10.1145/1978942.1979091","https://doi.org/10.1145/1978942.1979091","In response to the death of a close friend or relative, bereaved individuals can use technology as part of the grieving process. We present a study that analyzes the messages of the friends and family of the deceased to their Facebook profile before and after their passing. Our analysis reveals that mourners use profiles as a way to maintain a continuing bond with the deceased, as well as a way to accomplish specific front stage bereavement communication, such as sharing memories, expressing sorrow and providing social support. These observations may improve the design of social networking technologies so that they remain useful, sensitive tools for the bereaved.","2011","2020-11-12 00:57:20","2020-11-12 00:57:20","","997–1000","","","","","","","CHI '11","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Vancouver, BC, Canada","","","","death; dying; thanatosensitivity; facebook; grief; grieving; language; memorialized; mourning; posts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3RGJBPMW","conferencePaper","2016","Jamison-Powell, Sue; Briggs, Pam; Lawson, Shaun; Linehan, Conor; Windle, Karen; Gross, Harriet","""PS. I Love You"": Understanding the Impact of Posthumous Digital Messages","Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems","978-1-4503-3362-7","","10.1145/2858036.2858504","https://doi.org/10.1145/2858036.2858504","A number of digital platforms and services have recently emerged that allow users to create posthumous forms of communication, effectively arranging for the delivery of messages from ""beyond the grave"". Despite some evidence of interest and popularity of these services, little is known about how posthumous messages may impact the people who receive them. We present a qualitative study that explores the type of experiences potentially triggered upon receiving such messages. Our findings firstly suggest that posthumous messaging services have the potential to alter the relationship between the bereaved and the deceased, and secondly provide insight into how users make sense of this altered relationship. Through the inference of a set of design considerations for posthumous communication services, we reveal a number of conflicts that are not easily solvable through technological means alone, and which may serve as starting points for further research. Our work extends the growing body of research that is concerned with digital interactions related to death and dying.","2016","2020-11-12 00:58:39","2020-11-12 00:58:39","","2920–2932","","","","","","","CHI '16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: San Jose, California, USA","","","","death; dying; remembrance; social media; grief; memorial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8GUKKSFL","conferencePaper","2020","Wallace, Jayne; Odom, Will; Montague, Kyle; Koulidou, Nantia; Sas, Corina; Morrissey, Kellie; Olivier, Patrick","HCI at End of Life & Beyond","Extended Abstracts of the 2020 CHI Conference on Human Factors in Computing Systems","978-1-4503-6819-3","","10.1145/3334480.3375143","https://doi.org/10.1145/3334480.3375143","Death, whilst an inevitable part of being alive, factors more significantly in our lives than the event itself. The role that technology can play in how people live as they approach end of life as well as in bereavement is full of rich possibilities, but research here is also fraught with ethical and methodological dilemmas. Although there has been a turn to focus on the topic of death by some in HCI we need to go far further to embrace the contexts relating to it more meaningfully and broadly. Through this design focused workshop, we will bring experts and interested parties together to creatively explore opportunities and challenges for HCI at the end of life and beyond. Discussions and design activities will be supported by conceptual resources for design, lived experience accounts, design methods and ethical resources. The workshop will provide a time and place to bring together experts but will also provide an open and accepting environment for those for whom HCI at end of life and beyond is a new area of concern.","2020","2020-11-12 00:59:23","2020-11-12 00:59:56","","1–8","","","","","","","CHI EA '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Honolulu, HI, USA","","","","death; dying; bereavement; design; end of life; continuing bonds; ethics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
